,ID,Grants,Loans,Federal,Institutional,Net_Total,YearBegin
404,KA1668942,"21,243.00","12,500.00","18,595.00","15,148.00","33,611.00",2018
405,KE3577486,"10,548.00",0.00,"3,048.00","7,500.00","10,548.00",2018
406,2016000080,"12,745.00","30,530.00","36,275.00","7,000.00","42,217.00",2018
408,2018000023,"7,500.00","35,525.00","35,525.00","7,500.00","41,689.00",2018
409,2017000108,"25,851.00","15,500.00","19,845.00","10,750.00","40,903.00",2018
410,2016000079,"14,295.00","28,980.00","35,075.00","8,200.00","42,283.00",2018
411,2017000080,"9,725.00","17,652.00","17,652.00","9,725.00","26,865.00",2018
412,2018000066,"15,195.00","6,500.00","12,545.00","9,150.00","21,629.00",2018
413,2017000009,"6,700.00","18,946.00","7,500.00","6,700.00","25,568.00",2018
414,2016000012,"8,000.00","18,474.00","7,500.00","8,000.00","26,396.00",2018
415,2017000025,"23,179.00","12,500.00","18,595.00","17,084.00","35,547.00",2018
416,2017000089,"11,095.00","25,000.00","18,595.00","5,000.00","35,965.00",2018
417,2019000009,"6,150.00","6,400.00","6,400.00","6,150.00","12,484.00",2018
418,2018000017,"9,295.00","5,500.00","7,745.00","7,050.00","14,739.00",2018
419,2018000111,"28,404.00",0.00,"6,095.00","13,225.00","28,404.00",2018
421,2016000073,"14,095.00","12,500.00","18,595.00","8,000.00","26,463.00",2018
422,2016000010,"5,250.00","2,813.00","2,813.00","5,250.00","8,035.00",2018
423,2018000030,"19,129.00","6,500.00","9,545.00","7,000.00","25,563.00",2018
424,2016000036,"19,745.00","12,500.00","18,595.00","13,650.00","32,115.00",2018
425,2017000075,"10,000.00","36,275.00","36,275.00","10,000.00","42,067.00",2018
426,2018000082,"9,623.00","2,750.00","5,798.00","6,575.00","12,345.00",2018
427,2018000075,"8,500.00","21,500.00","21,500.00","8,500.00","29,296.00",2018
428,2018000015,"21,034.00","5,500.00","5,500.00","11,450.00","26,478.00",2018
429,2018000100,"15,745.00","27,880.00","31,625.00","12,000.00","42,619.00",2018
430,2016000005,"11,832.42","12,500.00","17,072.00","7,260.42","24,200.42",2018
431,2018000093,"7,050.00","19,870.00","19,870.00","7,050.00","26,253.00",2018
432,2017000012,"11,500.00","8,500.00","8,500.00","11,500.00","19,848.00",2018
433,2016000071,"25,851.00","7,500.00","13,595.00","9,000.00","33,273.00",2018
434,2018000063,"11,045.00","16,500.00","18,345.00","9,200.00","27,055.00",2018
435,2017000077,"13,063.33","12,500.00","15,459.00","10,104.33","25,431.33",2018
436,2018000038,"11,745.00","20,500.00","16,245.00","6,000.00","32,137.00",2018
437,2018000069,"21,095.00","14,000.00","20,095.00","15,000.00","34,741.00",2018
438,018000007,"16,584.00","25,500.00","25,500.00","16,584.00","41,240.00",2018
439,2018000049,"16,320.00","12,500.00","18,595.00","10,225.00","28,688.00",2018
440,2018000062,"26,929.00","5,500.00","11,595.00","20,834.00","29,651.00",2018
441,2017000068,"9,000.00","27,900.00","27,900.00","9,000.00","35,924.00",2018
442,2018000036,"10,225.00","25,275.00","25,275.00","10,225.00","34,602.00",2018
445,2017000083,"8,795.00","7,500.00","9,245.00","7,050.00","16,217.00",2018
446,2018000047,"11,367.67","2,750.00","3,309.00","6,266.67","14,089.67",2018
447,2016000061,"4,059.67","5,209.00","6,352.00","2,916.67","9,214.67",2018
448,2018000007,"25,154.00","5,500.00","11,345.00","10,225.00","30,598.00",2018
450,2018000024,"13,773.00","24,980.00","27,103.00","11,650.00","27,137.00",2018
451,2018000033,"10,725.00","24,800.00","6,500.00","10,725.00","35,459.00",2018
452,2017000047,"25,266.00","7,500.00","7,500.00","7,175.00","32,688.00",2018
453,2017000105,"21,129.00","5,500.00","10,545.00","16,084.00","26,573.00",2018
454,2016000013,"14,699.39","14,500.00","18,827.00","10,372.39","28,827.39",2018
455,2018000044,"9,300.00","7,500.00","7,500.00","9,300.00","16,722.00",2018
456,2018000043,"16,245.00","5,000.00","8,945.00","12,300.00","21,193.00",2018
