ID,Grants,Loans,Federal,Institutional,Net_Total,YearBegin,YearCat
2016000067,7500.0,35775.0,35775.0,7500.0,41993.0,2018,2
2018000005,14100.0,29175.0,29175.0,14100.0,34687.0,2018,2
2016000029,15245.0,7500.0,13245.0,9500.0,22667.0,2018,2
2018000051,9500.0,16532.0,16532.0,9500.0,25508.0,2018,2
2017000088,3500.0,18138.0,18138.0,3500.0,20954.0,2018,2
2018000018,26904.0,5500.0,11595.0,11725.0,32348.0,2018,2
2018000019,14100.0,5500.0,5500.0,14100.0,19544.0,2018,2
2018000050,17120.0,7500.0,13545.0,11075.0,24542.0,2018,2
2018000029,7000.0,18758.0,18758.0,7000.0,25200.0,2018,2
2018000039,14870.0,5500.0,8645.0,11725.0,20314.0,2018,2
2017000059,8000.0,32500.0,32500.0,8000.0,39356.0,2018,2
2017000102,10500.0,19500.0,7500.0,10500.0,29922.0,2018,2
2018000096,5000.0,2750.0,2750.0,5000.0,7722.0,2018,2
2018000077,27129.0,17526.0,23571.0,12000.0,44121.0,2018,2
2018000025,7500.0,36125.0,36125.0,7500.0,42265.0,2018,2
2018000059,14470.0,18238.0,22483.0,10225.0,32112.0,2018,2
2018000109,19795.0,5500.0,11545.0,13750.0,25237.0,2018,2
2018000081,5000.0,38625.0,38625.0,5000.0,42163.0,2018,2
2017000074,15045.0,7500.0,13545.0,9000.0,22467.0,2018,2
2018000052,13087.0,3250.0,6298.0,4661.0,16304.0,2018,2
2017000027,9000.0,26221.0,26221.0,9000.0,34345.0,2018,2
2017000065,11518.34,0.0,5385.0,6133.34,11518.34,2018,2
